frequency,count,mass,cum_mass,MAUI,UI,norm_rank
60,1,60,60,0.04437869822485207,0.4957983193277311,0.029411764705882353
36,1,36,96,0.11538461538461539,0.6974789915966386,0.08823529411764706
34,1,34,130,0.16715976331360946,0.7142857142857143,0.14705882352941177
29,1,29,159,0.21375739644970415,0.7563025210084033,0.20588235294117646
27,1,27,186,0.2551775147928994,0.773109243697479,0.2647058823529412
20,1,20,206,0.28994082840236685,0.8319327731092436,0.3235294117647059
16,2,32,238,0.32840236686390534,0.865546218487395,0.38235294117647056
13,1,13,251,0.36168639053254437,0.8907563025210083,0.4411764705882353
11,1,11,262,0.37943786982248523,0.907563025210084,0.5
9,2,18,280,0.40088757396449703,0.9243697478991597,0.5588235294117647
8,2,16,296,0.4260355029585799,0.9327731092436975,0.6176470588235294
6,6,36,332,0.46449704142011833,0.9495798319327731,0.6764705882352942
5,4,20,352,0.5059171597633136,0.957983193277311,0.7352941176470589
4,15,60,412,0.5650887573964497,0.9663865546218487,0.7941176470588235
3,10,30,442,0.6316568047337278,0.9747899159663865,0.8529411764705882
2,30,60,502,0.6982248520710059,0.9831932773109243,0.9117647058823529
1,174,174,676,0.871301775147929,0.9915966386554622,0.9705882352941176
